"title";"name";"unit";"batch";"elapsed";"error %";"instructions";"branches";"branch misses";"total"
"benchmark";"seq_normal";"op";1;3.57433903576983e-08;0.000435293605537013;415.018092105263;114;0.00164473684210526;0.000241401
"title";"name";"unit";"batch";"elapsed";"error %";"instructions";"branches";"branch misses";"total"
"benchmark";"seq_normal";"op";1;7.81188811188811e-08;0.000681319615400901;783.040441176471;218;1;0.000238205
"title";"name";"unit";"batch";"elapsed";"error %";"instructions";"branches";"branch misses";"total"
"benchmark";"seq_normal";"op";1;1.4307e-07;0.000335775632005456;1519.07482993197;426;1.00632911392405;0.000235101
"title";"name";"unit";"batch";"elapsed";"error %";"instructions";"branches";"branch misses";"total"
"benchmark";"seq_normal";"op";1;2.90417721518987e-07;0.000405516772260854;2991.14666666667;842;2.01333333333333;0.000241632
"title";"name";"unit";"batch";"elapsed";"error %";"instructions";"branches";"branch misses";"total"
"benchmark";"seq_normal";"op";1;5.76825e-07;0.000350117096018834;5935.2972972973;1674;3;0.000245251
"title";"name";"unit";"batch";"elapsed";"error %";"instructions";"branches";"branch misses";"total"
"benchmark";"seq_normal";"op";1;1.14365e-06;0.000645662410796699;11823.5789473684;3338;3;0.000241273
"title";"name";"unit";"batch";"elapsed";"error %";"instructions";"branches";"branch misses";"total"
"benchmark";"seq_normal";"op";1;2.27766666666667e-06;0.000644348768415305;23600.1;6666;3;0.000239177
"title";"name";"unit";"batch";"elapsed";"error %";"instructions";"branches";"branch misses";"total"
"benchmark";"seq_normal";"op";1;4.5524e-06;0.000439135780783451;47153.2;13322;3.2;0.000245778
"title";"name";"unit";"batch";"elapsed";"error %";"instructions";"branches";"branch misses";"total"
"benchmark";"seq_normal";"op";1;9.102e-06;0.000549028220050412;94260.5;26634;3.5;0.000249407
"title";"name";"unit";"batch";"elapsed";"error %";"instructions";"branches";"branch misses";"total"
"benchmark";"seq_normal";"op";1;1.8194e-05;0.000549329817622588;188474;53258;2;0.000200134
"title";"name";"unit";"batch";"elapsed";"error %";"instructions";"branches";"branch misses";"total"
"benchmark";"seq_normal";"op";1;3.6348e-05;0;376890;106506;3;0.000399938
"title";"name";"unit";"batch";"elapsed";"error %";"instructions";"branches";"branch misses";"total"
"benchmark";"seq_normal";"op";1;7.2667e-05;0.000413012651954211;753722;213002;2;0.00080539
"title";"name";"unit";"batch";"elapsed";"error %";"instructions";"branches";"branch misses";"total"
"benchmark";"seq_normal";"op";1;0.000147086;0.000952730935173341;1507386;425994;4;0.001632253
"title";"name";"unit";"batch";"elapsed";"error %";"instructions";"branches";"branch misses";"total"
"benchmark";"seq_normal";"op";1;0.000296456;0.00407107101004561;3014714;851978;4;0.003278653
"title";"name";"unit";"batch";"elapsed";"error %";"instructions";"branches";"branch misses";"total"
"benchmark";"seq_normal";"op";1;0.000592883;0.00215764981107945;6029371;1703947;5;0.006522699
"title";"name";"unit";"batch";"elapsed";"error %";"instructions";"branches";"branch misses";"total"
"benchmark";"seq_normal";"op";1;0.001190304;0.00429882478712906;12058683;3407883;4;0.013080613
"title";"name";"unit";"batch";"elapsed";"error %";"instructions";"branches";"branch misses";"total"
"benchmark";"seq_normal";"op";1;0.002495763;0.0101293703576586;24117309;6815757;6;0.027635506
"title";"name";"unit";"batch";"elapsed";"error %";"instructions";"branches";"branch misses";"total"
"benchmark";"seq_normal";"op";1;0.005633932;0.00742554720863689;48234560;13631504;8;0.062171165
"title";"name";"unit";"batch";"elapsed";"error %";"instructions";"branches";"branch misses";"total"
"benchmark";"seq_normal";"op";1;0.011252813;0.0034556616019834;96469061;27262997;14;0.123585156
"title";"name";"unit";"batch";"elapsed";"error %";"instructions";"branches";"branch misses";"total"
"benchmark";"seq_normal";"op";1;0.022331892;0.00523863662297602;192938065;54525984;26;0.246293738
"title";"name";"unit";"batch";"elapsed";"error %";"instructions";"branches";"branch misses";"total"
"benchmark";"seq_normal";"op";1;0.04456543;0.0035514946829313;385876071;109051959;48;0.490488879
"title";"name";"unit";"batch";"elapsed";"error %";"instructions";"branches";"branch misses";"total"
"benchmark";"seq_normal";"op";1;0.102093921;0.00206090364696117;771752096;218103920;107;1.123333471
