"title";"name";"unit";"batch";"elapsed";"error %";"instructions";"branches";"branch misses";"total"
"benchmark";"seq_normal";"op";1;1.8624685138539e-08;0.000129013714047462;252.009963768116;50;0.000905797101449275;0.000236665
"title";"name";"unit";"batch";"elapsed";"error %";"instructions";"branches";"branch misses";"total"
"benchmark";"seq_normal";"op";1;3.0083660130719e-08;3.23372778074204e-05;460.015172413793;90;0.00137931034482759;0.000241954
"title";"name";"unit";"batch";"elapsed";"error %";"instructions";"branches";"branch misses";"total"
"benchmark";"seq_normal";"op";1;5.71711956521739e-08;0.000130545162258035;876.028871391076;170;0.0026246719160105;0.000241954
"title";"name";"unit";"batch";"elapsed";"error %";"instructions";"branches";"branch misses";"total"
"benchmark";"seq_normal";"op";1;1.29286516853933e-07;0.00236767016653406;1708.06547619048;330;2.49438202247191;0.000242391
"title";"name";"unit";"batch";"elapsed";"error %";"instructions";"branches";"branch misses";"total"
"benchmark";"seq_normal";"op";1;2.4762962962963e-07;0.000255949934750789;3372.12643678161;650;2;0.000245551
"title";"name";"unit";"batch";"elapsed";"error %";"instructions";"branches";"branch misses";"total"
"benchmark";"seq_normal";"op";1;4.92302325581395e-07;0.000181953070181613;6700.25;1290;2;0.0002447
"title";"name";"unit";"batch";"elapsed";"error %";"instructions";"branches";"branch misses";"total"
"benchmark";"seq_normal";"op";1;9.81826086956522e-07;1.68700207079794e-05;13356.5;2570;2;0.00024637
"title";"name";"unit";"batch";"elapsed";"error %";"instructions";"branches";"branch misses";"total"
"benchmark";"seq_normal";"op";1;1.96372727272727e-06;0.000462727314793564;26669;5130;2;0.000241556
"title";"name";"unit";"batch";"elapsed";"error %";"instructions";"branches";"branch misses";"total"
"benchmark";"seq_normal";"op";1;3.9334e-06;0.000271255403916198;53293.8333333333;10250;2;0.000239929
"title";"name";"unit";"batch";"elapsed";"error %";"instructions";"branches";"branch misses";"total"
"benchmark";"seq_normal";"op";1;7.86833333333333e-06;0.000381129838231748;106543.666666667;20490;2;0.000259688
"title";"name";"unit";"batch";"elapsed";"error %";"instructions";"branches";"branch misses";"total"
"benchmark";"seq_normal";"op";1;1.577e-05;0.000634517766497348;213047;40970;1;0.000189196
"title";"name";"unit";"batch";"elapsed";"error %";"instructions";"branches";"branch misses";"total"
"benchmark";"seq_normal";"op";1;3.157e-05;0.00123382580910513;426039;81930;2;0.00034744
"title";"name";"unit";"batch";"elapsed";"error %";"instructions";"branches";"branch misses";"total"
"benchmark";"seq_normal";"op";1;6.3469e-05;0.00173613851228708;852023;163850;2;0.000702027
"title";"name";"unit";"batch";"elapsed";"error %";"instructions";"branches";"branch misses";"total"
"benchmark";"seq_normal";"op";1;0.000128421;0.00202825570009783;1703991;327690;2;0.001421369
"title";"name";"unit";"batch";"elapsed";"error %";"instructions";"branches";"branch misses";"total"
"benchmark";"seq_normal";"op";1;0.00025588;0.00888710148013209;3407927;655370;2;0.002825482
"title";"name";"unit";"batch";"elapsed";"error %";"instructions";"branches";"branch misses";"total"
"benchmark";"seq_normal";"op";1;0.00051147;0.00644635709984764;6815800;1310731;2;0.005646889
"title";"name";"unit";"batch";"elapsed";"error %";"instructions";"branches";"branch misses";"total"
"benchmark";"seq_normal";"op";1;0.001319557;0.00184116230745893;13631544;2621451;3;0.014844581
"title";"name";"unit";"batch";"elapsed";"error %";"instructions";"branches";"branch misses";"total"
"benchmark";"seq_normal";"op";1;0.005121883;0.00422718325878566;27263036;5242895;8;0.057838354
"title";"name";"unit";"batch";"elapsed";"error %";"instructions";"branches";"branch misses";"total"
"benchmark";"seq_normal";"op";1;0.009248849;0.0021994785530253;54526016;10485779;12;0.102901734
"title";"name";"unit";"batch";"elapsed";"error %";"instructions";"branches";"branch misses";"total"
"benchmark";"seq_normal";"op";1;0.015161767;0.00198237440348903;109051974;20971545;18;0.169593246
"title";"name";"unit";"batch";"elapsed";"error %";"instructions";"branches";"branch misses";"total"
"benchmark";"seq_normal";"op";1;0.029694583;0.00294297560049835;218103893;41943080;34;0.328658301
"title";"name";"unit";"batch";"elapsed";"error %";"instructions";"branches";"branch misses";"total"
"benchmark";"seq_normal";"op";1;0.073937912;0.00303309520648855;436207745;83886164;78;0.813202041
"title";"name";"unit";"batch";"elapsed";"error %";"instructions";"branches";"branch misses";"total"
"benchmark";"seq_normal";"op";1;0.145279051;0.0021222671235742;872415432;167772315;150;1.598296167
"title";"name";"unit";"batch";"elapsed";"error %";"instructions";"branches";"branch misses";"total"
"benchmark";"par_normal";"op";1;0.000322515;0.530715941383691;1924675;430451;83;0.00404546
"title";"name";"unit";"batch";"elapsed";"error %";"instructions";"branches";"branch misses";"total"
"benchmark";"par_normal";"op";1;0.001240599;0.0819938641681331;7182148;1611972;212;0.013668275
"title";"name";"unit";"batch";"elapsed";"error %";"instructions";"branches";"branch misses";"total"
"benchmark";"par_normal";"op";1;0.002865448;0.0476274675138853;6298381;1414620;174;0.030846515
"title";"name";"unit";"batch";"elapsed";"error %";"instructions";"branches";"branch misses";"total"
"benchmark";"par_normal";"op";1;0.001292877;0.10856765092488;5171731;1160619;278;0.019859334
"title";"name";"unit";"batch";"elapsed";"error %";"instructions";"branches";"branch misses";"total"
"benchmark";"par_normal";"op";1;0.000450977;0.155009693868404;1684078;373414;341;0.007224973
"title";"name";"unit";"batch";"elapsed";"error %";"instructions";"branches";"branch misses";"total"
"benchmark";"par_normal";"op";1;0.000421572;0.104065619794886;1414288;314345;324;0.004823983
"title";"name";"unit";"batch";"elapsed";"error %";"instructions";"branches";"branch misses";"total"
"benchmark";"par_normal";"op";1;0.000450445;0.0656703415231121;1397055;308362;297;0.004706524
"title";"name";"unit";"batch";"elapsed";"error %";"instructions";"branches";"branch misses";"total"
"benchmark";"par_normal";"op";1;0.000393649;0.0641642833878932;1301659;288072;273;0.004483071
"title";"name";"unit";"batch";"elapsed";"error %";"instructions";"branches";"branch misses";"total"
"benchmark";"par_normal";"op";1;0.000437992;0.0183539565401373;1407675;311522;314;0.004757007
"title";"name";"unit";"batch";"elapsed";"error %";"instructions";"branches";"branch misses";"total"
"benchmark";"par_normal";"op";1;0.000373782;0.0472430796817215;1092583;239880;259;0.004242723
"title";"name";"unit";"batch";"elapsed";"error %";"instructions";"branches";"branch misses";"total"
"benchmark";"par_normal";"op";1;0.000430188;0.0350136945739877;1298641;286738;295;0.004695625
"title";"name";"unit";"batch";"elapsed";"error %";"instructions";"branches";"branch misses";"total"
"benchmark";"par_normal";"op";1;0.000352461;0.0146792107369257;1023831;225224;240;0.003952539
"title";"name";"unit";"batch";"elapsed";"error %";"instructions";"branches";"branch misses";"total"
"benchmark";"par_normal";"op";1;0.000429637;0.0242530364556364;1278860;279933;292;0.00468921
"title";"name";"unit";"batch";"elapsed";"error %";"instructions";"branches";"branch misses";"total"
"benchmark";"par_normal";"op";1;0.000405872;0.0420307008197668;1332984;284207;244;0.004598431
"title";"name";"unit";"batch";"elapsed";"error %";"instructions";"branches";"branch misses";"total"
"benchmark";"par_normal";"op";1;0.000427592;0.0227638581594212;1506141;318103;208;0.004719077
"title";"name";"unit";"batch";"elapsed";"error %";"instructions";"branches";"branch misses";"total"
"benchmark";"par_normal";"op";1;0.000555062;0.0283072376897651;1603808;334804;164;0.006311456
"title";"name";"unit";"batch";"elapsed";"error %";"instructions";"branches";"branch misses";"total"
"benchmark";"par_normal";"op";1;0.00080463;0.0206452837904946;2054146;419318;105;0.008879487
"title";"name";"unit";"batch";"elapsed";"error %";"instructions";"branches";"branch misses";"total"
"benchmark";"par_normal";"op";1;0.001336659;0.00823767592088339;2479283;494269;87;0.01530665
"title";"name";"unit";"batch";"elapsed";"error %";"instructions";"branches";"branch misses";"total"
"benchmark";"par_normal";"op";1;0.002966217;0.0485741354138312;4530283;934215;81;0.032913526
"title";"name";"unit";"batch";"elapsed";"error %";"instructions";"branches";"branch misses";"total"
"benchmark";"par_normal";"op";1;0.005862553;0.0140735706535212;8015673;1523379;113;0.061411841
"title";"name";"unit";"batch";"elapsed";"error %";"instructions";"branches";"branch misses";"total"
"benchmark";"par_normal";"op";1;0.012961457;0.0424913030931164;19409773;3850495;117;0.139267849
"title";"name";"unit";"batch";"elapsed";"error %";"instructions";"branches";"branch misses";"total"
"benchmark";"par_normal";"op";1;0.019732536;0.020924661226658;40877019;7929945;131;0.212477247
"title";"name";"unit";"batch";"elapsed";"error %";"instructions";"branches";"branch misses";"total"
"benchmark";"par_normal";"op";1;0.028897257;0.00928915577766956;68640957;11923877;205;0.317378009
"title";"name";"unit";"batch";"elapsed";"error %";"instructions";"branches";"branch misses";"total"
"benchmark";"range";"op";1;7.2366e-05;0.155106186734539;483435;105025;51;0.000805743
"title";"name";"unit";"batch";"elapsed";"error %";"instructions";"branches";"branch misses";"total"
"benchmark";"range";"op";1;0.000108344;0.0586640717314241;491709;106745;90;0.001284002
"title";"name";"unit";"batch";"elapsed";"error %";"instructions";"branches";"branch misses";"total"
"benchmark";"range";"op";1;0.000171421;0.0868277899648759;562743;123613;164;0.002167758
"title";"name";"unit";"batch";"elapsed";"error %";"instructions";"branches";"branch misses";"total"
"benchmark";"range";"op";1;0.00016527;0.0679806138933764;520628;114093;165;0.001877444
"title";"name";"unit";"batch";"elapsed";"error %";"instructions";"branches";"branch misses";"total"
"benchmark";"range";"op";1;0.000185829;0.048921326243777;655379;143930;161;0.002165545
"title";"name";"unit";"batch";"elapsed";"error %";"instructions";"branches";"branch misses";"total"
"benchmark";"range";"op";1;0.000200967;0.0619408703004043;696743;152917;156;0.002230805
"title";"name";"unit";"batch";"elapsed";"error %";"instructions";"branches";"branch misses";"total"
"benchmark";"range";"op";1;0.000183585;0.0636189290924115;579059;127035;133;0.002172638
"title";"name";"unit";"batch";"elapsed";"error %";"instructions";"branches";"branch misses";"total"
"benchmark";"range";"op";1;0.000180359;0.023017453105768;546493;119659;134;0.001971963
"title";"name";"unit";"batch";"elapsed";"error %";"instructions";"branches";"branch misses";"total"
"benchmark";"range";"op";1;0.000206848;0.0937973696431231;674670;147359;134;0.002392219
"title";"name";"unit";"batch";"elapsed";"error %";"instructions";"branches";"branch misses";"total"
"benchmark";"range";"op";1;0.000211246;0.0349701463218532;775657;169730;135;0.002309524
"title";"name";"unit";"batch";"elapsed";"error %";"instructions";"branches";"branch misses";"total"
"benchmark";"range";"op";1;0.000210746;0.0604321871057196;752603;163550;143;0.002316297
"title";"name";"unit";"batch";"elapsed";"error %";"instructions";"branches";"branch misses";"total"
"benchmark";"range";"op";1;0.000199344;0.0669235709698138;622515;135106;140;0.002182385
"title";"name";"unit";"batch";"elapsed";"error %";"instructions";"branches";"branch misses";"total"
"benchmark";"range";"op";1;0.000191129;0.0401508607701734;562692;120135;141;0.002074986
"title";"name";"unit";"batch";"elapsed";"error %";"instructions";"branches";"branch misses";"total"
"benchmark";"range";"op";1;0.000219642;0.0186667858100259;804427;167861;153;0.002407097
"title";"name";"unit";"batch";"elapsed";"error %";"instructions";"branches";"branch misses";"total"
"benchmark";"range";"op";1;0.000223489;0.0466839327279285;832285;165746;145;0.002787645
"title";"name";"unit";"batch";"elapsed";"error %";"instructions";"branches";"branch misses";"total"
"benchmark";"range";"op";1;0.000230613;0.0957829464731179;918307;170854;115;0.002839569
"title";"name";"unit";"batch";"elapsed";"error %";"instructions";"branches";"branch misses";"total"
"benchmark";"range";"op";1;0.000328246;0.0473440371656115;1325822;234685;96;0.004101596
"title";"name";"unit";"batch";"elapsed";"error %";"instructions";"branches";"branch misses";"total"
"benchmark";"range";"op";1;0.000415029;0.0581374003763135;1950765;313080;62;0.005983081
"title";"name";"unit";"batch";"elapsed";"error %";"instructions";"branches";"branch misses";"total"
"benchmark";"range";"op";1;0.000750819;0.0804799005315918;2753124;426861;41;0.008617062
"title";"name";"unit";"batch";"elapsed";"error %";"instructions";"branches";"branch misses";"total"
"benchmark";"range";"op";1;0.00157171;0.0338680575152461;5202876;681978;54;0.017564495
"title";"name";"unit";"batch";"elapsed";"error %";"instructions";"branches";"branch misses";"total"
"benchmark";"range";"op";1;0.004607758;0.0375438102690256;5621577;706855;46;0.049280082
"title";"name";"unit";"batch";"elapsed";"error %";"instructions";"branches";"branch misses";"total"
"benchmark";"range";"op";1;0.008890055;0.0128360500716661;25276218;3780859;53;0.096677108
"title";"name";"unit";"batch";"elapsed";"error %";"instructions";"branches";"branch misses";"total"
"benchmark";"range";"op";1;0.018524448;0.0131563365162056;56063938;8516568;88;0.203138776
