"title";"name";"unit";"batch";"elapsed";"error %";"instructions";"branches";"branch misses";"total"
"benchmark";"seq_normal";"op";1;3.79061371841155e-08;0.000230777883824821;532.019130434783;144;0.00173913043478261;0.000241825
"title";"name";"unit";"batch";"elapsed";"error %";"instructions";"branches";"branch misses";"total"
"benchmark";"seq_normal";"op";1;7.32697841726619e-08;0.000180597025983582;1028.03691275168;280;0.00335570469798658;0.000241934
"title";"name";"unit";"batch";"elapsed";"error %";"instructions";"branches";"branch misses";"total"
"benchmark";"seq_normal";"op";1;1.55724637681159e-07;0.0218822605233901;2020.07971014493;552;1;0.000237346
"title";"name";"unit";"batch";"elapsed";"error %";"instructions";"branches";"branch misses";"total"
"benchmark";"seq_normal";"op";1;2.95294871794872e-07;0.000162434262371498;4004.14864864865;1096;1;0.000241856
"title";"name";"unit";"batch";"elapsed";"error %";"instructions";"branches";"branch misses";"total"
"benchmark";"seq_normal";"op";1;5.85243902439024e-07;6.62575087389389e-05;7972.2972972973;2184;2.02702702702703;0.000247204
"title";"name";"unit";"batch";"elapsed";"error %";"instructions";"branches";"branch misses";"total"
"benchmark";"seq_normal";"op";1;1.1562e-06;0.000355444545847468;15908.5789473684;4360;2.05263157894737;0.000244267
"title";"name";"unit";"batch";"elapsed";"error %";"instructions";"branches";"branch misses";"total"
"benchmark";"seq_normal";"op";1;2.29766666666667e-06;0.000116073242215724;31781.2222222222;8712;2.11111111111111;0.000239021
"title";"name";"unit";"batch";"elapsed";"error %";"instructions";"branches";"branch misses";"total"
"benchmark";"seq_normal";"op";1;4.5806e-06;0;63526.2;17416;2;0.000238257
"title";"name";"unit";"batch";"elapsed";"error %";"instructions";"branches";"branch misses";"total"
"benchmark";"seq_normal";"op";1;9.152e-06;0.000510166897456461;127017.5;34824;2;0.000242093
"title";"name";"unit";"batch";"elapsed";"error %";"instructions";"branches";"branch misses";"total"
"benchmark";"seq_normal";"op";1;1.8284e-05;0;253999;69640;1;0.000197649
"title";"name";"unit";"batch";"elapsed";"error %";"instructions";"branches";"branch misses";"total"
"benchmark";"seq_normal";"op";1;3.6538e-05;0.000246379588819825;507951;139272;1;0.000401984
"title";"name";"unit";"batch";"elapsed";"error %";"instructions";"branches";"branch misses";"total"
"benchmark";"seq_normal";"op";1;7.3108e-05;0.000561128826967148;1015855;278536;1;0.000794683
"title";"name";"unit";"batch";"elapsed";"error %";"instructions";"branches";"branch misses";"total"
"benchmark";"seq_normal";"op";1;0.000146475;0.000614817091915207;2031663;557064;2;0.001585595
"title";"name";"unit";"batch";"elapsed";"error %";"instructions";"branches";"branch misses";"total"
"benchmark";"seq_normal";"op";1;0.000293781;0.000578997380888388;4063279;1114120;2;0.003187063
"title";"name";"unit";"batch";"elapsed";"error %";"instructions";"branches";"branch misses";"total"
"benchmark";"seq_normal";"op";1;0.000591621;0.00546733196919109;8126512;2228233;3;0.00640968
"title";"name";"unit";"batch";"elapsed";"error %";"instructions";"branches";"branch misses";"total"
"benchmark";"seq_normal";"op";1;0.001514182;0.00159238083683402;16252976;4456457;4;0.01609041
"title";"name";"unit";"batch";"elapsed";"error %";"instructions";"branches";"branch misses";"total"
"benchmark";"seq_normal";"op";1;0.00315416;0.00298176376557622;32505906;8912907;5;0.033683059
"title";"name";"unit";"batch";"elapsed";"error %";"instructions";"branches";"branch misses";"total"
"benchmark";"seq_normal";"op";1;0.006952679;0.00429163958762918;65011765;17825806;9;0.074664738
"title";"name";"unit";"batch";"elapsed";"error %";"instructions";"branches";"branch misses";"total"
"benchmark";"seq_normal";"op";1;0.013899709;0.00129209641943513;130023485;35651606;16;0.14915027
"title";"name";"unit";"batch";"elapsed";"error %";"instructions";"branches";"branch misses";"total"
"benchmark";"seq_normal";"op";1;0.027603499;0.00179290941742712;260046923;71303204;30;0.300030548
"title";"name";"unit";"batch";"elapsed";"error %";"instructions";"branches";"branch misses";"total"
"benchmark";"seq_normal";"op";1;0.057761112;0.00887040478456533;520093801;142606402;59;0.62047012
